"Q5_1"	"Q5_2"	"Q5_3"	"Q5_4"	"Q5_5"	"Q5_6"	"Q6box_1"	"Q6box_2"	"Q6box_3"	"Q6box_4"	"Q6_score"	"Q10_1"	"Q10_2"	"Q10_3"	"Q10_4"	"Q35_ERP"	"Q40_TAA"	"Q36_ITcount"	"Q37_ITassist"	"Q38_Taxcount"	"Q39_TAAexpert"	"Q22_box1"	"Q22_box2"	"Q22_box3"	"Q22_box4"	"Q22_box5"	"Q22_box6"	"Q22_box7"	"Q22_box8"	"Q22_box9"	"Q22_box10"	"Q23_1"	"Q23_2"	"Q26"	"Q24_box1"	"Q24_box2"	"Q24_box3"	"Q24_box4"	"Q27"	"Q29"	"Q41"	"Q30_1"	"Q30_2"	"Q30_3"	"Q30_4"	"Q31_1"	"Q31_2"	"Q31_3"	"Q32_1"	"Q32_2"	"Q32_3"	"Q32_4"	"Q42"	"Q45"	"Q43"	"Q44"	"init_composite"	"rout_composite"	"integrate_composite"	"manag_composite"	"comp_composite"	"gov_composite"
"34"	2	3	4	5	5	5	1	NA	NA	NA	2	4	3	4	4	1	0	2	1	12	6	1	NA	3	NA	NA	6	NA	NA	NA	NA	3	2	6	NA	2	3	4	3	4	NA	3	3	4	5	5	5	5	5	4	4	3	3	24	"EVP, Finance Controller"	""	-0.0543146367491842	0.410426158521739	-0.537219040556288	-0.11427857492394	1.84507465883519	0.784756143466438
"35"	5	5	5	5	5	5	1	2	NA	NA	1	3	3	3	3	1	0	3	0	50	5	1	2	NA	NA	NA	NA	7	NA	NA	NA	3	3	6	NA	2	3	4	3	6	6	3	3	5	5	5	5	5	3	3	5	5	1	9	"CFO"	"it is my position"	0.652754994864552	0.0819072265308103	-0.182119052040334	-0.114278431978209	1.84507465883519	0.80266720043174
"36"	3	5	3	5	4	5	NA	NA	NA	NA	2	3	3	1	1	NA	1	3	0	85	5	1	2	3	4	5	NA	7	NA	NA	NA	3	6	6	NA	2	3	4	3	3	NA	2	5	2	5	1	5	5	5	5	5	6	3	1	"CFO"	"Vice President Taxes"	0.506164072367144	-0.923504712080757	0.324967844522841	-0.121742347366017	0.877686736979363	1.25569225553325
"37"	2	4	5	6	2	6	1	2	NA	NA	NA	2	2	1	1	NA	0	3	0	22	0	1	NA	3	NA	NA	NA	NA	NA	NA	NA	3	1	5	NA	NA	NA	NA	2	2	2	5	5	5	NA	5	5	5	2	1	2	3	3	1.5	"CFO"	"Chief Tax Officer"	-1.46370675268606	-0.936769424198182	-0.537219040556288	-0.864008902155247	1.84507465883519	-1.1785767949885
"38"	3	5	6	5	6	6	1	2	NA	NA	2	4	4	2	2	1	0	3	0	19	19	1	2	NA	NA	NA	NA	NA	NA	NA	NA	1	2	6	NA	2	3	NA	1	1	1	4	5	2	5	5	5	1	4	4	5	2	1	3	"Treasurer"	""	-0.68297532635	0.475857752389177	-0.757555736513888	-0.390240713703314	0.909334617801544	1.08168507005626
"39"	5	5	4	5	5	5	1	2	NA	4	2	4	3	3	4	1	0	2	2	4	2	1	2	NA	NA	NA	NA	7	NA	NA	NA	4	3	6	NA	NA	NA	4	3	5	5	4	4	4	NA	5	5	5	5	5	1	1	1	3	"Sr VP Treasurer "	"VP Tax"	0.652755255122976	0.410426991342299	0.949947749781374	-0.864009988635933	1.84507465883519	-0.55825253451916
"40"	5	4	4	5	5	5	1	NA	NA	NA	3	4	4	3	3	1	0	2	1	15	3.5	1	2	NA	NA	5	NA	7	NA	NA	NA	3	2	6	NA	NA	NA	4	3	3	3	3	3	3	NA	3	5	5	3	2	2	2	2	19	"CFO"	""	0.652755001078622	0.595789127487514	-0.537219040556288	0.049522074553823	0.877687073899164	-1.05302781749421
"41"	4	3	1	5	4	5	1	NA	3	NA	1	5	5	2	2	1	0	2	1	11	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	5	NA	2	3	4	2	2	2	3	3	4	NA	5	5	2	5	2	1	6	1	4	"CFO"	""	-0.0185781361617612	1.92260429931347	0.104631148565241	-0.269262758583545	0.909335702407694	-0.737755100950368
"42"	3	2	1	5	5	6	NA	NA	NA	NA	2	4	1	1	4	1	0	2	1	14	0	1	2	3	NA	NA	NA	7	NA	NA	NA	1	6	4	NA	NA	3	NA	1	1	1	5	3	3	NA	2	4	3	4	3	2	1	1	10	"CAO"	""	-0.889372447888424	-0.36852372293613	0.104631148565241	-0.161710051209706	-0.941383545752847	-0.572647623791209
"43"	4	4	5	5	3	4	1	2	NA	NA	NA	3	3	2	3	1	0	NA	0	17	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	6	NA	2	3	4	3	6	NA	1	3	3	5	2	4	4	3	3	3	6	3	3	"CFO"	"Vice President, Tax"	0.336778350522514	-0.0380241740598091	-0.537219040556288	1.36794736153673	-0.941381593461777	-0.024175219902702
"44"	3	4	4	4	4	5	1	NA	NA	NA	2	4	4	3	3	1	1	3	1	30	3.5	1	2	NA	NA	5	NA	7	NA	NA	10	2	3	NA	NA	2	3	4	NA	NA	NA	4	2	3	NA	3	3	3	3	3	4	3	4	3	"CFO"	"Corporate Tax Director"	0.506164413199187	0.595789127487514	-0.402455873356234	-0.161712044590547	-0.941383156296467	-0.0459969059226301
"45"	5	4	4	4	5	5	1	2	NA	NA	1	3	3	3	3	1	0	3	0	6	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	4	2	3	3	4	4	5	NA	3	5	3	4	4	3	2	1	1	"CAO"	""	0.652755001078622	0.0819072265308103	-0.757555861872187	-0.864009845690203	-0.0580540517406361	0.632569445946557
"46"	5	5	4	4	5	5	NA	NA	NA	NA	2	3	2	3	3	0	0	0	0	44	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	6	NA	2	3	4	2	2	2	5	3	5	NA	5	5	5	2	1	2	3	1	24	"CFO"	""	0.652755255122976	0.068642478271924	-0.537219040556288	-0.480494741401343	1.84507465883519	-1.1785767949885
"47"	5	5	4	5	5	5	1	NA	NA	NA	NA	2	3	2	2	1	0	1	1	6	3	1	NA	NA	NA	NA	NA	7	NA	NA	NA	3	2	5	NA	NA	NA	4	3	6	6	4	5	3	NA	2	2	2	2	2	3	3	5	2	"cfo"	"vp tax"	0.652755255122976	-0.0380241124260649	-0.537219040556288	-0.545224688900394	-0.941380539760242	-0.63527390242563
"48"	2	5	2	5	3	5	1	NA	NA	NA	1	3	3	1	1	1	0	3	1	7	0	1	2	NA	NA	5	NA	NA	NA	NA	NA	3	6	6	NA	2	3	4	2	1	NA	1	3	5	NA	1	5	3	4	1	3	2	3	4	"Controller"	"Tax Director"	-0.541630415482401	-0.923504712080757	0.324967844522841	0.894178487685489	-0.0580543886604373	-0.349756824205936
"49"	5	1	1	5	3	5	1	NA	NA	NA	1	4	4	1	2	1	0	3	1	33	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	6	NA	NA	NA	4	3	6	NA	1	2	5	5	2	3	5	3	3	1	6	2	12	"Global CFO"	"N/A"	-0.376778666271413	0.0547428907858119	-0.757555736513888	1.04916115490104	-0.00564247988306794	-0.745603103588802
"50"	5	5	2	5	5	4	1	NA	NA	NA	1	3	4	2	3	1	0	0	0	11	5	1	2	NA	NA	5	NA	NA	NA	NA	NA	3	6	6	NA	NA	NA	4	3	4	NA	5	3	4	NA	4	4	4	2	5	2	5	3	2	"CFO"	"VP, Tax"	0.277201966597456	0.183885859550102	0.324967844522841	-0.480494884347074	-0.94138226730138	0.235301937248829
"51"	5	4	2	5	3	4	1	2	NA	NA	1	4	3	2	3	1	0	2	1	14	0	1	NA	3	NA	5	NA	7	NA	NA	NA	4	1	4	NA	NA	NA	4	2	2	4	4	3	5	NA	3	5	5	5	5	4	2	3	8	"CFO"	"My position (Executive Director, Global Tax)"	0.0355176800720504	0.253947693286983	0.59484776126542	-0.480495218338128	0.877687073899164	0.664573140928006
"52"	5	5	3	5	4	5	1	NA	NA	NA	2	4	4	1	1	0	1	1	0	14	1	1	2	3	NA	NA	NA	NA	NA	NA	NA	1	2	5	NA	NA	3	4	2	1	1	3	3	3	5	4	4	1	4	4	5	4	3	6	"CFO"	"SVP - Accounting &Tax (she has a Masters in Taxation)"	0.646235719989629	-0.409622811124053	-0.757555736513888	0.204506258213428	-0.941383134986299	1.56253964986927
"53"	4	2	3	5	3	5	1	NA	NA	NA	1	4	2	1	1	1	0	2	1	8	3	1	NA	3	NA	NA	NA	NA	NA	NA	NA	2	1	6	NA	2	3	4	3	6	6	4	4	3	NA	2	3	4	5	4	3	2	3	5.5	"Chief Accounting Officer"	"Global Tax Director"	0.00952793713327841	-0.644797592992851	-0.757555861872187	-0.545225155498566	-0.941381653231799	0.632569161087828
"54"	4	3	3	4	4	5	1	2	NA	NA	1	3	4	2	1	1	0	2	1	26	2	1	NA	NA	NA	NA	NA	7	NA	NA	NA	2	1	6	NA	NA	NA	4	2	2	2	2	3	5	NA	1	3	1	3	1	3	1	1	5	"CFO"	"N/A"	0.44202154158861	-0.280479816867481	-0.757555861872187	-0.211996852000831	-0.941382408610118	-1.29795998559311
"55"	5	3	3	5	5	5	1	NA	NA	NA	2	2	3	1	2	1	0	3	1	10	0	1	NA	NA	NA	NA	NA	7	NA	NA	NA	3	1	6	NA	NA	3	NA	2	1	6	5	4	5	NA	3	5	2	2	2	4	2	3	5	"CFO"	"Vice President of Finance"	0.522832978817707	-0.45913897402943	-0.537219040556288	-0.864009368753418	-0.0580518825283367	-0.723450528998236
"56"	5	1	5	5	5	5	1	2	NA	NA	1	4	5	3	5	1	0	3	1	9	1	1	NA	3	NA	NA	6	NA	NA	NA	NA	4	6	5	NA	2	3	4	3	6	NA	5	5	5	NA	5	5	5	5	5	5	5	3	13	"CFO"	"VP Global Tax"	0.325505378577983	2.32854976683642	1.45703464634455	-0.864008902155247	1.84507465883519	1.63341905175798
"57"	3	1	5	5	4	5	NA	NA	NA	NA	2	3	3	1	1	0	1	0	0	45	4	1	NA	NA	NA	5	6	7	NA	NA	NA	4	6	6	NA	2	3	4	3	5	NA	2	3	3	4	1	1	1	2	4	5	3	4	0.25	"CFO"	"Vice President of Taxes"	0.178914790698549	-0.923504712080757	1.45703464634455	0.207168338557248	-0.941382259185064	0.636746768434712
